Lower interval (MStb), Upper interval (Mstb),Class Mark (Mstb),Frequency,Cum Freq,Rel Freq,Cum Rel Freq,Decu Rel Freq
12.65 , 58.16,   35.40  ,   19  ,  19  ,   0.32   ,  0.32   ,  0.68 
58.16 , 103.66,   80.91  ,   14  ,  33  ,   0.23   ,  0.55   ,  0.45 
103.66 , 149.17,   126.42  ,   13  ,  46  ,   0.22   ,  0.77   ,  0.23 
149.17 , 194.68,   171.93  ,   7  ,  53  ,   0.12   ,  0.88   ,  0.12 
194.68 , 240.19,   217.43  ,   2  ,  55  ,   0.03   ,  0.92   ,  0.08 
240.19 , 285.69,   262.94  ,   4  ,  59  ,   0.07   ,  0.98   ,  0.02 
285.69 , 331.20,   308.45  ,   1  ,  60  ,   0.02   ,  1.00   ,  0.00 
