Lower interval (MStb), Upper interval (Mstb),Class Mark (Mstb),Frequency,Cum Freq,Rel Freq,Cum Rel Freq,Decu Rel Freq
0.16 , 0.19,   0.1782  ,   12  ,  12  ,   0.0789   ,  0.0789   ,  0.9211 
0.19 , 0.22,   0.2068  ,   14  ,  26  ,   0.0921   ,  0.1711   ,  0.8289 
0.22 , 0.25,   0.2354  ,   34  ,  60  ,   0.2237   ,  0.3947   ,  0.6053 
0.25 , 0.28,   0.2641  ,   28  ,  88  ,   0.1842   ,  0.5789   ,  0.4211 
0.28 , 0.31,   0.2927  ,   25  ,  113  ,   0.1645   ,  0.7434   ,  0.2566 
0.31 , 0.34,   0.3213  ,   14  ,  127  ,   0.0921   ,  0.8355   ,  0.1645 
0.34 , 0.36,   0.3500  ,   17  ,  144  ,   0.1118   ,  0.9474   ,  0.0526 
0.36 , 0.39,   0.3786  ,   8  ,  152  ,   0.0526   ,  1.0000   ,  0.0000 
